,DBC,DIA,FEZ,IJH,IWD,IWF,IWM,IWN,IWO,MDY,OEF,PFF,QQQ,SPY,VTI
2011-04-20,31.07635498046875,101.92481994628906,31.141258239746094,87.1446533203125,56.41843795776367,54.36099624633789,74.08049774169922,62.729061126708984,88.93987274169922,161.52560424804688,49.82331848144531,23.839149475097656,52.801513671875,112.14569854736328,58.470191955566406
2011-04-21,31.30340576171875,102.293701171875,31.402381896972656,87.6122817993164,56.5910530090332,54.76176834106445,74.62834167480469,63.10017013549805,89.70088958740234,162.42532348632812,50.02449035644531,23.893373489379883,53.22114944458008,112.71866607666016,58.758419036865234
2011-04-25,31.214561462402344,102.0969467163086,31.394914627075195,87.63874816894531,56.56641387939453,54.654884338378906,74.53115844726562,63.09175491333008,89.55239868164062,162.43434143066406,49.999324798583984,23.935516357421875,53.35798645019531,112.60067749023438,58.699092864990234
2011-04-26,31.204689025878906,103.03964233398438,31.842559814453125,88.47692108154297,57.09246063232422,55.135799407958984,75.2734603881836,63.800270080566406,90.17422485351562,163.97288513183594,50.451961517333984,23.983705520629883,53.65903854370117,113.56962585449219,59.21623229980469
2011-04-27,31.39225196838379,103.8511734008789,32.64833068847656,89.06808471679688,57.437652587890625,55.438602447509766,75.72415161132812,64.12075805664062,90.87958526611328,165.16046142578125,50.7956428527832,24.031885147094727,54.02393341064453,114.31110382080078,59.60618209838867
2011-04-28,31.16520118713379,104.44955444335938,32.812469482421875,88.26519012451172,57.799320220947266,55.50986099243164,76.06880187988281,64.4159927368164,91.13945770263672,165.2414093017578,50.929744720458984,24.06803321838379,53.94183349609375,114.68182373046875,59.78422164916992
2011-04-29,31.490968704223633,104.9577865600586,32.849769592285156,89.4562759399414,57.906150817871094,55.62562942504883,76.34271240234375,64.60157775878906,91.71487426757812,165.79025268554688,51.089012145996094,24.128253936767578,53.896209716796875,114.95143127441406,59.936824798583984
2011-05-02,31.175071716308594,104.79386138916016,32.827392578125,88.93571472167969,57.86507797241211,55.51875305175781,75.4501953125,63.960540771484375,90.46194458007812,164.62059020996094,50.98843002319336,24.084062576293945,53.795875549316406,114.7745132446289,59.83507537841797
2011-05-03,30.84930419921875,104.7774887084961,32.745323181152344,88.01812744140625,57.62670135498047,55.224857330322266,74.49580383300781,63.412269592285156,89.07904815673828,163.1990966796875,50.9213752746582,24.114330291748047,53.540443420410156,114.36164855957031,59.50446701049805
2011-05-04,30.355714797973633,104.0807113647461,32.387203216552734,87.25053405761719,57.232173919677734,54.86863327026367,73.5325698852539,62.644691467285156,87.8539810180664,161.7685089111328,50.57770919799805,24.138553619384766,53.45833206176758,113.60334777832031,59.06361770629883
2011-05-05,28.32213020324707,102.99044036865234,31.42476463317871,86.93289184570312,56.68968963623047,54.47677230834961,73.19676971435547,62.33263397216797,87.43633270263672,161.1297607421875,50.01609420776367,24.078004837036133,53.16641616821289,112.57542419433594,58.58887481689453
2011-05-06,28.23328399658203,103.50691223144531,31.10394859313965,87.13582611083984,56.92805099487305,54.690513610839844,73.58560180664062,62.4338264465332,88.13241577148438,161.51663208007812,50.19213104248047,24.10828971862793,53.339752197265625,113.0725326538086,58.843204498291016
2011-05-09,29.269819259643555,103.8675765991211,31.021879196166992,88.02693939208984,57.15819549560547,54.99331283569336,74.44278717041016,63.015846252441406,89.27395629882812,163.1900634765625,50.35139465332031,24.156713485717773,53.540443420410156,113.51067352294922,59.156883239746094
2011-05-10,29.536357879638672,104.47412872314453,31.559051513671875,88.89160919189453,57.692466735839844,55.4564094543457,75.58275604248047,64.02799987792969,90.61040496826172,164.89059448242188,50.711822509765625,24.217260360717773,53.99655532836914,114.4796371459961,59.682491302490234
2011-05-11,28.588666915893555,103.53964233398438,30.90997886657715,88.0093002319336,57.03491973876953,54.922054290771484,74.18650817871094,62.939945220947266,88.97697448730469,163.0821075439453,50.17536163330078,24.22936248779297,53.60429000854492,113.27474212646484,59.07207107543945
2011-05-12,28.618282318115234,104.09706115722656,30.97711181640625,88.50341033935547,57.223941802978516,55.2337646484375,74.8404541015625,63.378509521484375,89.812255859375,164.0628204345703,50.38491439819336,24.25358009338379,53.923587799072266,113.81399536132812,59.351871490478516
